fast_window,slow_window,volume_threshold,position_size_pct,stop_loss_pct,take_profit_pct,max_holding_period,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,score
5,20,1.5,0.07,0.02,0.025,30,0.258659999999978,0.5589304542903282,0.3364402484450106,0.4387755102040816,431,0.39071033006782285
5,20,2.0,0.05,0.025,0.05,90,0.46022099999998756,0.7222611159821682,0.679136209066331,0.37751004016064255,234,0.38269301144900275
3,10,2.0,0.07,0.02,0.05,60,0.21121399999998394,0.5079830331485079,0.3931510672667114,0.32608695652173914,254,0.31140749951515223
5,20,1.5,0.03,0.015,0.025,30,0.21233299999997762,0.5122921085823631,0.42130677912710107,0.394990366088632,433,0.30163871901881256
3,30,1.2,0.03,0.025,0.05,60,0.22716099999998915,0.5448833021536929,0.49333546151646884,0.3692722371967655,351,0.2982155713954584
3,20,1.5,0.03,0.025,0.025,30,0.11995199999999022,0.4256789451468717,0.27845378508432445,0.4703389830508475,425,0.2864520526047095
3,20,2.0,0.03,0.025,0.05,90,-0.308004000000003,0.6651445027135947,0.866952593876907,0.34375,242,0.2316682057751412
3,20,1.5,0.07,0.02,0.035,60,0.194063000000007,0.4960120997780351,0.5478328222621466,0.3864734299516908,376,0.22209568864696183
10,20,1.2,0.03,0.015,0.035,60,-0.7000059999999947,0.7017943159724853,1.0,0.3116883116883117,471,0.20179431597248532
3,20,1.2,0.05,0.02,0.035,90,0.014756999999986146,0.4131234322180358,0.4983790984136088,0.36809815950920244,451,0.16393388301123143
5,30,1.5,0.05,0.02,0.035,60,0.05180999999998967,0.4132190928912204,0.5966352507405244,0.3819628647214854,343,0.1149014675209582
3,30,2.0,0.07,0.025,0.025,30,0.029122999999998136,0.3634625500771045,0.5026335644353781,0.4647058823529412,300,0.11214576785941544
5,10,2.0,0.03,0.025,0.05,60,6.399999998538987e-05,0.44301196236684065,0.6729407729370352,0.36046511627906974,242,0.10654157589832303
3,10,2.0,0.03,0.025,0.05,90,0.03303199999999051,0.3756374157944069,0.6670865897114968,0.35772357723577236,233,0.0420941209386585
3,30,2.0,0.05,0.02,0.025,30,-0.009280000000002474,0.2756537404321525,0.5325414510707416,0.4346590909090909,306,0.009383014896781727
10,10,1.2,0.03,0.025,0.035,60,0.0,0.0,0.0,0.0,0,0.0
10,10,1.2,0.07,0.025,0.05,30,0.0,0.0,0.0,0.0,0,0.0
10,10,1.5,0.05,0.025,0.025,60,0.0,0.0,0.0,0.0,0,0.0
3,20,1.2,0.05,0.025,0.05,90,-0.7284090000000011,0.39306544765126167,0.8868356982538887,0.3386243386243386,361,-0.050352401475682707
3,30,2.0,0.07,0.02,0.025,60,-0.10269900000000708,0.183183599987503,0.5479935553033982,0.43023255813953487,298,-0.09081317766419611
10,20,1.2,0.07,0.025,0.025,90,-0.13679500000001063,0.19870449436049525,0.6043234179974705,0.4780114722753346,478,-0.10345721463823998
10,20,1.5,0.05,0.02,0.035,90,-0.24048300000000164,0.16373491268928184,0.6191736332930892,0.36548223350253806,356,-0.14585190395726275
3,20,1.2,0.07,0.025,0.035,60,-0.6154959999999919,0.22171350776387092,0.8280653674712675,0.3955056179775281,413,-0.19231917597176282
3,30,2.0,0.05,0.025,0.035,90,-0.3404909999999916,0.18274903618759675,0.755556538879281,0.4020979020979021,264,-0.19502923325204374
3,30,2.0,0.07,0.025,0.035,60,-0.34334299999998913,0.17208842714831538,0.7350750896800251,0.4013840830449827,266,-0.19544911769169718
10,30,2.0,0.03,0.015,0.025,30,-0.14645699999999925,0.02391762095110409,0.4694682816954229,0.39444444444444443,290,-0.21081651989660735
5,30,2.0,0.07,0.015,0.05,30,-0.3244059999999976,-0.0603611881783799,0.5836909871244617,0.29372937293729373,261,-0.3522066817406107
10,20,1.2,0.03,0.025,0.035,60,-1.0272910000000084,-0.34941223982992436,1.0,0.38963963963963966,411,-0.8494122398299244
